var.nms,ks.pvals,a.ks.pvals,cor.pvals,a.cor.pvals,delta.median,obs.cor,r.ks,r.cor,ave.r
FreeSurfer.thickness..median.1007,7.84896657357592e-06,0.00064884790341561,2.90489514461195e-08,6.7915709672543e-05,-0.0943455696100002,0.335603255416413,44.5,13.5,29
FreeSurfer.thickness..mean.1030,1.8515707471356e-05,0.00112915461956466,1.12913473782928e-09,9.23960904827917e-06,-0.0826854336099996,0.36624607370167,58.5,4,31.25
FreeSurfer.thickness..25..1007,5.05192242783448e-06,0.000437050033291727,1.02601631193044e-07,0.00014601391562379,-0.1069829464,0.322740418344519,42.5,23,32.75
FreeSurfer.thickness..25..1009,1.58865853648882e-05,0.00107451086467971,1.33309337995058e-06,0.00092839016690361,-0.0861606597899995,0.295126485779645,55,47,51
mean.curvature..mean.2009,4.23600470412788e-05,0.00196974218741947,3.09191490519464e-07,0.000348977440530126,0.0862818158300001,-0.31098348330709,76.5,28,52.25
mean.curvature..mean.1030,9.39854983169619e-05,0.00342770640920685,2.58613880429725e-09,1.04385963393635e-05,0.11537520682,-0.358731873621135,99.5,7,53.25
Volume.2002,0,0,1.69520219461477e-05,0.00509052794786554,-777.4223,-0.263323432888095,16,109,62.5
FreeSurfer.thickness..median.1009,8.50635449534121e-05,0.00333090933922835,4.32338827017867e-07,0.000437880574829415,-0.088250875475,0.307876672159275,95,32,63.5
FreeSurfer.thickness..25..1030,1.05562915320156e-06,0.000115498248526759,1.13711553696559e-05,0.00392088510350282,-0.12641555071,0.268995761954083,34,94,64
FreeSurfer.thickness..median.1015,0.00017050178494038,0.0051150535482114,6.44799093938592e-09,1.91866675930203e-05,-0.0925619602149998,0.350853017258383,123.5,11,67.25
FreeSurfer.thickness..25..1015,3.8040111525417e-05,0.00196540576214654,3.61186362163519e-06,0.00185127281959424,-0.0974750518750001,0.283303980174886,72,63,67.5
FreeSurfer.thickness..mean.1028,3.22680662623309e-06,0.000300093016239678,1.31484816889792e-05,0.0044368187724513,-0.0749670779099998,0.266624728497848,40,97,68.5
FreeSurfer.thickness..mean.2030,1.8515707471356e-05,0.00112915461956466,6.71603013963192e-06,0.00268081350227149,-0.0983866997400002,0.275150224975846,58.5,82,70.25
FreeSurfer.thickness..median.1030,0.000165121984218697,0.00504221586312197,7.43402116983467e-08,0.000121663866967643,-0.101982355115,0.326681588919319,121.5,20,70.75
mean.curvature..median.1030,0.000165362993360452,0.00504221586312197,1.45695011406748e-07,0.000198701551518832,0.160395,-0.319645909572634,121.5,24,72.75
mean.curvature..75..1030,5.14580008389443e-05,0.00230631039904666,3.61978337201155e-06,0.00185127281959424,0.121085,-0.283277400732774,83,63,73
FreeSurfer.thickness..mean.1007,0.00020223371267647,0.00557266230486272,5.72260558269224e-08,0.000100220683016893,-0.0749011688500003,0.328765707606121,131.5,17.5,74.5
